category,question,choice_a,choice_b,choice_c,choice_d,answer,source
Broadband and MPLS Network,OC in terms of classification of cities in NIB-II network stands for,Out of network cities,Operational Cities,Other Cities,Overburdened Cities,C,"pdf6, Q1 (PDF page 1)"
General / Unclassified,In Broad Band General Technical Inspection (i) Network connection is to be displayed (ii) date of commissioning to be displayed (iii) Availability of fire extinguisher to be checked,Only (i) and (ii) are true,Only (i) and (iii) are true,Only (ii) and (iii) are true,"(i), (ii), (iii) all are true",D,"pdf6, Q2 (PDF page 1)"
General / Unclassified,Number of Members in the centralised NOC Team for Network Management in Category -B BA,4,8,12,16,B,"pdf6, Q3 (PDF page 1)"
General / Unclassified,(i)LEASED CIRCUIT and MLLN Monitoring and Management (ii) Wi-Fi Hotspots Monitoring and Management are proposed activities in ONE Network,(i) is true and (ii) is also true,(i) is false but (ii) is true,(i) is true but (ii) is false,(i) is false and (ii) is also false,A,"pdf6, Q4 (PDF page 1)"
General / Unclassified,"In inspection checklist for DSLAM, (i) whether alarms are actually raised on a fault (ii) fake alarms check","Only (i) is true, (ii) is false","Only (ii) is true, (i) is false",Both (i) & (ii) are true,Both (i) & (ii) are false,C,"pdf6, Q5 (PDF page 1)"
General / Unclassified,MPLS TP is Jointly developed by,IEEE and ITU-T,ITU-T and IETF,IETF and IEEE,independently by ITU,B,"pdf6, Q6 (PDF page 1)"
General / Unclassified,Internet connectivity at one point can be got provisioned either through (i) copper pair (ii) fibre (iii) using the CDMA (iv) by 3G connectivity.,"(i) and (ii) only are true, (iii) and (iv) are false","(i) and (ii) only are false, (iii) and (iv) are true","(i), (ii), (iii) are true but (iv) is false","All (i), (ii), (iii), (iv) are true",D,"pdf6, Q7 (PDF page 1)"
General / Unclassified,CPAN is based on TDM technology.,"F, F","T, F","F, T","T, T",B,"pdf6, Q2 (PDF page 1)"
General / Unclassified,"In MPLS-TP, LSP stands for",Label Switch Path,Long Service path,Label Swipe Protocol,Label Sender Path,A,"pdf6, Q9 (PDF page 1)"
General / Unclassified,"State True or False in respect of Following Statements: 1. MPLS-TP does not require LDP or any other control plane protocol to set up the circuits, 2. User cannot provision a circuit from a centralized NMS, 3. PHP is disabled in MPLS-TP","T, T, T","F, F, F","T, F, T","F, T, T",B,"pdf6, Q10 (PDF page 1)"
General / Unclassified,MPLS TP is,Multi Protocol Loop Switching – Transport Profile,Multi Protection Label Switching – Transport Profile,Multi Protocol Label Switching – Transport Profile,Multi Protection Loop Switching – Transport Profile,C,"pdf6, Q11 (PDF page 2)"
Broadband and MPLS Network,Which feature is dropped from MPLS to work it in MPLS-TP,Label swapping,Label Pushing,ECMP,LIC,C,"pdf6, Q12 (PDF page 2)"
General / Unclassified,EMS/DR EMS Systems are at,Pune and Mumbai,Bangalore and Ahmedabad,Bangalore and Mumbai,Bangalore and Lucknow,C,"pdf6, Q13 (PDF page 2)"
General / Unclassified,Centralized NOC for CFA will work for,24 x 7,5 Days a week,Weekdays,Holidays,A,"pdf6, Q14 (PDF page 2)"
General / Unclassified,On which date Centralised NOC for CFA goes live,01.01.2021,31.03.2021,01.04.2021,None of these,B,"pdf6, Q15 (PDF page 2)"
General / Unclassified,Which type of system is provided in data centre keeping in view the importance and fire risk,Wet Fire Sprinkler,Automatic Flooding,Foam Fire Suppression,Dry Pipe,D,"pdf6, Q16 (PDF page 2)"
CDR Billing,The CDR covers customer care and billing for the,"Landline, Broadband and Leased Line Services",Landline and Broadband Services,Landline Services only,Landline and Leased Line Services,A,"pdf6, Q17 (PDF page 2)"
CDR Billing,"CDR Billing system, the combination of CRM and the billing system enables BSNL to extend",Convergent billing,flexible user-friendly tariff plans,e-stapling facility,All of these,D,"pdf6, Q18 (PDF page 2)"
General / Unclassified,CRM is,Call Record Management,Customer Relationship Management,Call Record Memory,Call Record Movement,B,"pdf6, Q19 (PDF page 2)"
General / Unclassified,Under CDR system around____ different reports are available,256,80,100,120,D,"pdf6, Q20 (PDF page 2)"
General / Unclassified,CRM Reports under CRM is categorized into:,Advice Notes,"Advice Notes, Waitlist","Advice Notes, Waitlist, Customer Accounts","Advice Notes, Waitlist, Customer Accounts, Franchisee Reports",D,"pdf6, Q21 (PDF page 2)"
CDR Billing,The CDR system is having a decentralized billing process common for all the SSAs in a zone. 2. The customers in the entire zone are divided into different billing cycles to evenly distribu3='VPN services' and choice4=',"T, F","T, T","F, T","F, F",C,"pdf6, Q1 (PDF page 2)"
General / Unclassified,Issue of demand Note for Port Charges/ Space/ Power/ Infrastructure to be done within,2-3 days,3 days,5-7 days,10 days,B,"pdf6, Q23 (PDF page 3)"
General / Unclassified,In the CDR System…….accounting method is used instead of ………….accounting.,"Invoice based, Balance brought forward","Balance brought forward, Invoice based","Balance brought forward, Minute based","Invoice based, Minute forward",B,"pdf6, Q24 (PDF page 3)"
CDR Billing,"In the North and West zone, the system for billing is from",M/s. Converges,M/s. Converse,M/s TCS,M/s HCL,A,"pdf6, Q25 (PDF page 3)"
CDR Billing,The billing system for South and East Zone is from,M/s. Converges,M/s HCL,M/s Converse,M/s TCS,C,"pdf6, Q26 (PDF page 3)"
CDR Billing,"In CDR billing system, the billing system of M/s Converse is implemented in……..zones",North and West,South and East,North and East,South and West,B,"pdf6, Q27 (PDF page 3)"
CDR Billing,"In CDR Billing System, CDRs generated for all the",CRM,Rating,Clarity,Mediation,D,"pdf6, Q28 (PDF page 3)"
