category,question,choice_a,choice_b,choice_c,choice_d,answer,source
"NGN, IMS and SSTP",What is the main difference between traditional telecommunications services and Next Generation Networks (NGN)?,"NGN uses circuit-switched infrastructure, while traditional services use packet-switched infrastructure.","NGN allows for a single network capable of carrying any services, while traditional services use separate application-specific networks.","NGN is based on legacy TDM networks, while traditional services are based on converged network architectures.","NGN is optimized for data services, while traditional services are optimized for voice calls.",D,"pdf3, NGN, IMS AND SSTP (para 4)"
"NGN, IMS and SSTP",What is the purpose of IMS (IP Multimedia Subsystem) in NGN?,To handle non-call related messages efficiently.,To convert mesh networks into star networks.,To optimize the operating networks.,To ensure backward compatibility with PSTN.,A,"pdf3, NGN, IMS AND SSTP (para 9)"
"NGN, IMS and SSTP",Why was the Standalone Signal Transfer Point (SSTP) introduced?,To increase complexity in network management.,To convert star networks into mesh networks.,To handle call-related messages efficiently.,To address issues related to the complexity of direct SS7 links.,C,"pdf3, NGN, IMS AND SSTP (para 14)"
"NGN, IMS and SSTP",What does NGN stand for?,Next Generation Network,New Generation Node,Network Gateway Node,National Gateway Network,A,"pdf3, NGN, IMS AND SSTP (para 19)"
"NGN, IMS and SSTP","According to ETSI, what does NGN enable for users?",Limited access to networks.,Restricted access to service providers.,Unfettered access to networks and competing service providers.,Limited mobility for consistent service provision.,C,"pdf3, NGN, IMS AND SSTP (para 24)"
"NGN, IMS and SSTP",What is the main reason for evolving existing networks to NGN?,To increase power and cooling requirements.,To minimize operating costs.,To face proprietary vendor troubles.,To ensure model obsolescence.,B,"pdf3, NGN, IMS AND SSTP (para 29)"
"NGN, IMS and SSTP",What does the NGN architecture consist of?,"Transport, Access, Control, and Application layers.","Physical, Data Link, Network, and Application layers.","Core, Distribution, Access, and Application layers.","Session, Presentation, and Application layers.",A,"pdf3, NGN, IMS AND SSTP (para 34)"
"NGN, IMS and SSTP",What is the responsibility of the Access Layer in NGN?,Direct subscriber attachment function.,Termination of media from PSTN.,Conversion of mesh networks into star networks.,Handling of non-call related messages.,B,"pdf3, NGN, IMS AND SSTP (para 39)"
"NGN, IMS and SSTP",What is the Access Gateway responsible for in NGN?,Termination of media from PSTN.,Packetisation of media under control layer instruction.,Carriage of signaling generated by PSTN.,Direct termination of subscribers.,D,"pdf3, NGN, IMS AND SSTP (para 43)"
"NGN, IMS and SSTP",Which organization defines NGN as a concept for defining and deploying networks?,ITU (International Telecommunication Union),IEEE (Institute of Electrical and Electronics Engineers),ETSI (European Telecommunication Standardization Institute),ISO (International Organization for Standardization),C,"pdf3, NGN, IMS AND SSTP (para 46)"
"NGN, IMS and SSTP",What is the core technology of the Transport Layer in NGN?,Circuit-switching,ATM (Asynchronous Transfer Mode),MPLS (Multi Protocol Label Switching),CDMA (Code Division Multiple Access),C,"pdf3, NGN, IMS AND SSTP (para 49)"
"NGN, IMS and SSTP",What is the responsibility of Routers in the Transport Layer?,Termination of media streams,"Setting up, modifying, charging, and tear down of calls",Handling traffic originated by the access layer,Providing enhanced services to subscribers,C,"pdf3, NGN, IMS AND SSTP (para 51)"
"NGN, IMS and SSTP","Which layer is responsible for call setup, routing, and charging policies in NGN?",Transport Layer,Control Layer,Application Layer,Access Layer,B,"pdf3, NGN, IMS AND SSTP (para 54)"
"NGN, IMS and SSTP",What is the main function of MGC (Media Gateway Controller) in NGN's Control Layer?,Termination of traffic,Carriage of media streams,Call setup and modification,Routing and charging policies,A,"pdf3, NGN, IMS AND SSTP (para 57)"
"NGN, IMS and SSTP",What does the Application Layer in NGN handle?,Routing and identification,Media termination,OSS/BSS (Operations Support System/Business Support System),Packetization of media,C,"pdf3, NGN, IMS AND SSTP (para 60)"
"NGN, IMS and SSTP",Which protocol is used for controlling media gateways (MGs) in NGN?,SIP (Session Initiation Protocol),MEGACO,RTCP (Real Time Control Protocol),SIGTRAN,B,"pdf3, NGN, IMS AND SSTP (para 63)"
"NGN, IMS and SSTP",What is the purpose of SIP (Session Initiation Protocol) in NGN?,Packetization of media,Control of sessions and call establishment,Encapsulation of SS7 and ISDN over IP,Actual packet transfer between media gateways,B,"pdf3, NGN, IMS AND SSTP (para 66)"
"NGN, IMS and SSTP","What does SIGTRAN stand for, and what is its role in NGN?",Signaling Transmission; transport and encapsulation of SS7 and ISDN over IP,Session Initiation Gateway Transport; control of media gateways,Signaling Transfer Protocol; signaling between soft switches,Simple Internet Gateway Transmission; packet transfer between media gateways,A,"pdf3, NGN, IMS AND SSTP (para 69)"
"NGN, IMS and SSTP",Which protocol is used for delivering audio and video over IP networks in NGN?,RTP (Real Time Protocol),SIP (Session Initiation Protocol),RTCP (Real Time Control Protocol),MEGACO,A,"pdf3, NGN, IMS AND SSTP (para 73)"
"NGN, IMS and SSTP",What is emphasized in the migration from PSTN to NGN?,Proprietary vendor troubles,Maximum reuse of existing equipment,Limited migration strategy,Increased power and cooling requirements,B,"pdf3, NGN, IMS AND SSTP (para 76)"
"NGN, IMS and SSTP","In the first phase of migration, what components are responsible for the transportation of media and signaling in NGN?",Local Exchanges,Trunk Media Gateways and Signalling Gateway,SoftSwitch and Media Gateway Controller,Access Gateways and Media Gateways,A,"pdf3, NGN, IMS AND SSTP (para 79)"
"NGN, IMS and SSTP",What is the role of the Signalling Gateway in the first phase of migration?,Conversion of TDM voice to packets,Transporting media between Local Exchanges,Conversion of CCS#7 messages to compatible SIGTRAN messages,Instructing Media Gateway Controller for call setup,C,"pdf3, NGN, IMS AND SSTP (para 83)"
"NGN, IMS and SSTP",Which protocol is used for communication between Media Gateway Controller (MGC) and Media Gateways (MG) in NGN during call setup and disconnection?,SIP (Session Initiation Protocol),RTCP (Real Time Control Protocol),H.248,SIGTRAN,C,"pdf3, NGN, IMS AND SSTP (para 86)"
"NGN, IMS and SSTP",What does Phase II of the migration involve?,Replacing Trunk Media Gateways,Replacing Local Exchanges with Softswitch and Access Gateways,Implementing IN services through SCP,Introducing Application Servers for SIP communication,B,"pdf3, NGN, IMS AND SSTP (para 90)"
"NGN, IMS and SSTP",What types of access do Access Gateways (AG) provide to subscribers in Phase II of migration?,Only PSTN access,Only ISDN access,"Various types of access (e.g., PSTN, ISDN, V5.2, xDSL)",Only IP core network access,C,"pdf3, NGN, IMS AND SSTP (para 93)"
"NGN, IMS and SSTP",Which NGN architecture types are mentioned in Phase II?,Class 1 and Class 2,Class 4 and Class 5,Class A and Class B,Class X and Class Y,B,"pdf3, NGN, IMS AND SSTP (para 96)"
"NGN, IMS and SSTP",How does the Softswitch interact with the Service Control Point (SCP) in NGN?,Via H.248 protocol,Via SIP (Session Initiation Protocol),Via SIGTRAN,Via INAP (Intelligent Network Application Protocol),D,"pdf3, NGN, IMS AND SSTP (para 98)"
"NGN, IMS and SSTP",What protocol is used for communication between Softswitch and Application Servers (AS) in NGN?,SIGTRAN,RTP (Real Time Protocol),H.248,SIP (Session Initiation Protocol),D,"pdf3, NGN, IMS AND SSTP (para 101)"
"NGN, IMS and SSTP",What is the focus of Phase III in the migration process from PSTN to NGN?,Migration of Local Exchanges,Migration of Tax,Migration of Services,Migration of Softswitch,A,"pdf3, NGN, IMS AND SSTP (para 105)"
"NGN, IMS and SSTP",How are new IN and value-added services implemented during the migration process?,Through Trunk Media Gateways,Via H.248 protocol,Using Application Servers accessed by Softswitch via SIP,Through SIGTRAN communication,C,"pdf3, NGN, IMS AND SSTP (para 109)"
"NGN, IMS and SSTP","What deployment strategy is adopted by BSNL for NGN, considering its existing circuit-switched network?",Replacement strategy,Overlay strategy,Migration strategy,Parallel strategy,C,"pdf3, NGN, IMS AND SSTP (para 112)"
