category,question,choice_a,choice_b,choice_c,choice_d,answer,source
General / Unclassified,Allotments are made at the commencement of the ________ year,Financial,calendar,academic,All correct,B,"pdf1, Q2 (PDF page 1)"
General / Unclassified,Funds will be allocated to the Circle staff welfare Board on,Pro- rata basis,On fixed basis,Equal amount to all Circles,Performance basis,A,"pdf1, Q3 (PDF page 1)"
Industry Driven Transformation,How many industries were identified initially for industry digital initiatives in phase 1 of the DTI project,2,4,6,8,C,"pdf1, Q4 (PDF page 1)"
General / Unclassified,Which article says to protect SC and ST from social injustice and other form of exploitation ?,Article 15,Article 16,Article 46,Article 335,C,"pdf1, Q5 (PDF page 1)"
General / Unclassified,Overhead refers to:,Direct or Prime Cost,All indirect costs,Only Factory indirect cost,Variable Costs,D,"pdf1, Q6 (PDF page 1)"
General / Unclassified,The purpose of using Project software to manage the Network Elements of project by (A) developing plans (B) Constructing building map (3) Assigning resources to task (4) Analyzing workloads,Improvement in employee involvement,Improvement in housekeeping,Improvement in customer satisfaction,Inefficient decision making,A,"pdf1, Q7 (PDF page 1)"
General / Unclassified,In which Article it is written that sate language is hindi and lipi devnagari and number is international,Article 343,Article 344,Article 347,Article 351,A,"pdf1, Q8 (PDF page 1)"
General / Unclassified,Which word means the time by which something must be completed,Chore,Consequence,Deadline,Goal,C,"pdf1, Q9 (PDF page 1)"
General / Unclassified,Depreciation method in BSNL is,Written down value method,Fix percentage method,Ceiling method,None of these,A,"pdf1, Q10 (PDF page 1)"
General / Unclassified,An employee shall avoid acceptance of lavish hospitality or frequent hospitality from any individual or firm having official dealing with him – belongs to,Rule 15 of BSNL CDA Rules,Rule 16 of BSNL CDA Rules,Rule 17 of BSNL CDA Rules,Rule 18 of BSNL CDA Rules,A,"pdf1, Q11 (PDF page 2)"
General / Unclassified,"In case of death of an employee while in service ,financial of ________ is granted to the dependent from welfare fund",Rs 15000,Rs 50000,Rs 100000,Rs 150000,A,"pdf1, Q12 (PDF page 2)"
Enterprise Services & Technology,Online CSC Portal launched for,Single window access to for all type of wire line services,Single window access to for all type of wireless services,Both 1 and 2,None of these,C,"pdf1, Q13 (PDF page 2)"
General / Unclassified,Which of the following sentence is wrong about post based roster,The person belonging to reserved categories who are appointed on the basis,The number of points in the rosters shall be equal to the number of posts in the cadre,The reservation of jobs for backward classes SC/ST/OBC should apply to post and vacancies,"Cadre for the purpose of a roaster ,shall means a particular mode of recruitment in terms of the applicable Recruitment Rules",A,"pdf1, Q14 (PDF page 2)"
General / Unclassified,__________ Advertising is an arrangement whereby a manufacture egress to pay a certain amount of the retailer media cost for Advertising the manufacture product .,Differential Advertising,Direct Advertising,Cooperative Advertising,Supportive Advertising,B,"pdf1, Q16 (PDF page 2)"
"Capability, Attitude & Motivation",According to Maslows Hierarchy of needs theory Group insurance and GPF are,Physiological need,Safety need,Self actualization need Esteem need,Esteem need,B,"pdf1, Q17 (PDF page 2)"
General / Unclassified,Which of the following type is online retailing,B to B,B to C,C to C,None,B,"pdf1, Q18 (PDF page 2)"
General / Unclassified,________ become an important entity in any organization,Files,Receipts,Both,e-office,C,"pdf1, Q19 (PDF page 2)"
General / Unclassified,"As per new organization structure in BSNL ,The post Director(Operations ) has been re-designated as,",Director ( Consumer fixed access),Director( Consumer Mobility ),Director( Enterprise),Director(HR),A,"pdf1, Q22 (PDF page 3)"
