category,type,question,answer,source
Group Performance Management System,flashcard,GPMS stands for,Group performance management system,"pdf2 (xlsx), row 6"
Sales Management,flashcard,in BSNL what does FOS stands for in sales and distribution policy,Feet on street,"pdf2 (xlsx), row 70"
General / Unclassified,flashcard,What does FMA stands for,First mover advantage,"pdf2 (xlsx), row 71"
General / Unclassified,flashcard,Which of the following is not an element of service marketing,Packaging,"pdf2 (xlsx), row 91"
General / Unclassified,flashcard,A sales organisation bridges the gap between,Market and productive capacity of the firm,"pdf2 (xlsx), row 92"
Sales Management,flashcard,"_ describes the pattern, plan or actual achievement of conversion of prospects into sales",Sales funnel,"pdf2 (xlsx), row 93"
General / Unclassified,flashcard,_ is the process of making the product available to end customers,Distributuion,"pdf2 (xlsx), row 94"
General / Unclassified,flashcard,"Customer satisfied with network performance, reliability and availability",>85%,"pdf2 (xlsx), row 95"
Service Quality & Service Operation,flashcard,The element of service quality which is defined as knowledge and coutsey of employees and their ability to convey trust and confidence,Assurance,"pdf2 (xlsx), row 96"
General / Unclassified,flashcard,Marketing is a process which aims at,Satisfaction of customer needs,"pdf2 (xlsx), row 97"
General / Unclassified,flashcard,Internationalisation stimuli refers to,"Internationalization stimuli refer to internal and external factors that influence a firm's decision to initiate, develop, and sustain international business activities.","pdf2 (xlsx), row 98"
Managing Growth through Outsourcing,flashcard,BPO,Business process outsourcing,"pdf2 (xlsx), row 99"
General / Unclassified,flashcard,ILO is an agency of,UN,"pdf2 (xlsx), row 100"
General / Unclassified,flashcard,"As per A.C. Act 1996, after expiry of three months from the date of receipt of Arbitration Award by apposite party (By Respondent), the Award will become",Decree of the court,"pdf2 (xlsx), row 102"
Project Vijay,flashcard,The retailers who sold 50-100 SIMs/month or recharge sales 1-3 lacs /month,Class B,"pdf2 (xlsx), row 103"
Project Vijay,flashcard,BSNL executive who act as Sales Head Mobility at SSA region,SSA Sales Head-cons. Mobility,"pdf2 (xlsx), row 104"
Contract Act & Arbitration/Conciliation,flashcard,Essential requirements for a valid contract,"Free consent,lawful, competent to contract , all","pdf2 (xlsx), row 105"
Project Kuber & Enterprise Structure,flashcard,Which is NOT true for collecting outstanding from large enterprises under project Kuber,Outsourcing to collection agencies,"pdf2 (xlsx), row 107"
General / Unclassified,flashcard,Centralised NOC for VSAT,Bangalore,"pdf2 (xlsx), row 108"
Project Vijay,flashcard,"BSNL executive who guides SSA teams with best practices, key risks at particular stage is",Circle level nodes,"pdf2 (xlsx), row 109"
General / Unclassified,flashcard,Tertiary sales:,Product sales from retailer to end-customer are defined as 'Tertiary Sales.',"pdf2 (xlsx), row 113"
General / Unclassified,statement,Agreement without consideration is void,,"pdf2 (xlsx), row 114"
General / Unclassified,flashcard,Retail sale,"Small value, mass selling","pdf2 (xlsx), row 115"
Sales Management,statement,"SALES FUNNEL Describes the pattern, plan or actual achievement of conversion of prospects into sales",,"pdf2 (xlsx), row 116"
Launching a New Product,flashcard,Free rider effect is,not incur the costs which the first mover has to sustain.,"pdf2 (xlsx), row 118"
General / Unclassified,statement,"Distribution mix is channel of distribution, transportation, warehousing & inventory",,"pdf2 (xlsx), row 120"
Marketing Promotions,statement,"Broadly following four variables are used to create marketing promotions :Advertising, Publicity, Personal selling, sales promotion",,"pdf2 (xlsx), row 121"
General / Unclassified,statement,Responsiveness: Willingness to help customers & provide prompt service.,,"pdf2 (xlsx), row 124"
